transaction_id,timestamp,timestamp_unix,amount,merchant_id,customer_id,account_created_at,account_created_unix,device_id,ip_id,payment_instrument_id,location,transaction_type,label,abuse_type,ring_id,is_fraud
tx_00000001,2026-08-01T00:18:32.009730,1785523712.00973,502.57,merch_0012,cust_003901,2026-07-11T04:09:03.150723,1783723143.150723,dev_671676,ip_14827,card_231090,Hyderabad,payment,legitimate,none,,0
tx_00000002,2026-08-01T00:34:19.449141,1785524659.449141,1327.93,merch_0001,cust_003897,2025-12-03T01:58:34.335486,1764707314.335486,dev_244565,ip_51746,card_130456,Kochi,payment,legitimate,none,,0
tx_00000003,2026-08-01T00:44:32.444096,1785525272.444096,1489.77,merch_0009,cust_006510,2025-09-27T05:23:56.663577,1758930836.663577,dev_493708,ip_27673,card_832741,Delhi NCR,payment,legitimate,none,,0
tx_00000004,2026-08-01T01:07:56.809086,1785526676.809086,496.23,merch_0012,cust_003812,2026-03-08T13:45:25.621514,1772957725.621514,dev_970864,ip_77154,card_931176,Chennai,payment,legitimate,none,,0
tx_00000005,2026-08-01T01:20:22.079395,1785527422.079395,1050.32,merch_0007,cust_007793,2025-09-18T09:44:59.932921,1758168899.932921,dev_650087,ip_26957,card_723067,Chennai,payment,legitimate,none,,0
tx_00000006,2026-08-01T01:21:08.603174,1785527468.603174,1846.57,merch_0005,cust_009217,2026-05-25T05:32:26.214253,1779667346.214253,dev_335237,ip_34604,card_130117,Delhi NCR,payment,legitimate,none,,0
tx_00000007,2026-08-01T01:26:51.534935,1785527811.534935,1809.03,merch_0020,cust_010500,2026-02-25T01:53:53.801122,1771964633.801122,dev_479339,ip_82480,card_130578,Bengaluru,payment,legitimate,none,,0
tx_00000008,2026-08-01T01:27:01.301915,1785527821.301915,714.13,merch_0002,cust_010810,2025-08-23T01:46:55.793926,1755893815.793926,dev_596207,ip_24343,card_103371,Kolkata,payment,legitimate,none,,0
tx_00000009,2026-08-01T01:35:49.378148,1785528349.378148,725.59,merch_0008,cust_008691,2026-04-12T09:56:30.867345,1775967990.867345,dev_206819,ip_17358,card_582946,Hyderabad,payment,legitimate,none,,0
tx_00000010,2026-08-01T01:40:39.994795,1785528639.994795,1715.12,merch_0041,cust_004506,2025-11-17T12:45:38.828260,1763363738.82826,dev_117474,ip_62692,card_127461,Jaipur,payment,legitimate,none,,0
tx_00000011,2026-08-01T01:40:41.437476,1785528641.437476,993.21,merch_0028,cust_012317,2026-02-12T21:19:12.809473,1770911352.809473,dev_812830,ip_60852,card_987464,Chennai,payment,legitimate,none,,0
tx_00000012,2026-08-01T01:42:34.867672,1785528754.867672,1417.1,merch_0003,cust_006637,2025-08-19T00:06:52.232434,1755542212.232434,dev_771000,ip_62589,card_475931,Kolkata,payment,legitimate,none,,0
tx_00000013,2026-08-01T01:44:26.186122,1785528866.186122,895.96,merch_0023,cust_011630,2025-12-08T09:23:06.770097,1765165986.770097,dev_593624,ip_25129,card_967244,Jaipur,payment,legitimate,none,,0
tx_00000014,2026-08-01T01:44:42.438114,1785528882.438114,905.86,merch_0024,cust_011967,2026-01-21T19:53:59.778199,1769005439.778199,dev_209125,ip_75350,card_369866,Mumbai,payment,legitimate,none,,0
tx_00000015,2026-08-01T01:49:35.866301,1785529175.866301,1853.07,merch_0040,cust_011893,2025-10-15T10:00:59.447677,1760502659.447677,dev_425686,ip_31861,card_363566,Bengaluru,payment,legitimate,none,,0
tx_00000016,2026-08-01T01:53:03.557518,1785529383.557518,411.61,merch_0027,cust_012598,2025-12-08T17:11:13.061787,1765194073.061787,dev_413055,ip_88149,card_957410,Pune,payment,legitimate,none,,0
tx_00000017,2026-08-01T01:56:18.065177,1785529578.065177,16718.551965206017,merch_0040,cust_013388,2026-07-14T02:25:14.581029,1783976114.581029,dev_unfamiliar_69346,ip_17888,card_437476,Bengaluru,payment,isolated_anomaly,none,,1
tx_00000018,2026-08-01T01:57:15.090061,1785529635.090061,510.52,merch_0033,cust_006820,2026-04-21T15:46:08.057226,1776766568.057226,dev_792628,ip_47738,card_546228,Kochi,payment,legitimate,none,,0
tx_00000019,2026-08-01T01:58:38.676136,1785529718.676136,474.66,merch_0037,cust_001307,2026-06-22T17:02:14.032042,1782127934.032042,dev_521837,ip_98441,card_346746,Ahmedabad,payment,legitimate,none,,0
